(-6.54818e-08,-2.14143e-07)
(4.77463e-08,4.49929e-08)
(-8.81146e-08,-4.55883e-07)
(1.34611e-07,1.13593e-07)
(-1.68697e-07,-7.09902e-07)
(2.59324e-07,1.99003e-07)
(-2.46433e-07,-1.01858e-06)
(3.48087e-07,2.88521e-07)
(-3.30087e-07,-1.34978e-06)
(4.4412e-07,3.94129e-07)
(-4.30378e-07,-1.6766e-06)
(5.74063e-07,5.41867e-07)
(-4.97742e-07,-1.83006e-06)
(6.35567e-07,6.57776e-07)
(-5.3446e-07,-1.78169e-06)
(6.24832e-07,6.81977e-07)
(-4.40013e-07,-1.4389e-06)
(5.11875e-07,5.79477e-07)
(-2.55552e-07,-8.20249e-07)
(2.8922e-07,3.40382e-07)
(-1.11495e-07,-4.43314e-07)
(1.526e-07,6.84875e-08)
(-2.28241e-07,-9.16752e-07)
(3.25879e-07,2.06273e-07)
(-3.61552e-07,-1.53503e-06)
(5.3238e-07,4.10188e-07)
(-5.05576e-07,-2.18839e-06)
(7.27142e-07,5.98879e-07)
(-7.08091e-07,-3.00445e-06)
(9.78239e-07,8.9643e-07)
(-9.30057e-07,-3.71861e-06)
(1.24534e-06,1.22518e-06)
(-1.12615e-06,-4.19105e-06)
(1.42152e-06,1.51494e-06)
(-1.19063e-06,-4.14864e-06)
(1.42764e-06,1.59407e-06)
(-9.86965e-07,-3.38781e-06)
(1.16752e-06,1.37975e-06)
(-5.65792e-07,-1.92766e-06)
(6.72687e-07,8.15559e-07)
(-1.34512e-07,-7.25014e-07)
(2.7951e-07,1.56271e-07)
(-3.13273e-07,-1.52962e-06)
(5.12673e-07,3.67159e-07)
(-5.16958e-07,-2.48536e-06)
(8.27316e-07,6.40621e-07)
(-8.22081e-07,-3.79086e-06)
(1.2116e-06,1.02678e-06)
(-1.18241e-06,-5.24805e-06)
(1.69954e-06,1.56495e-06)
(-1.59312e-06,-6.67175e-06)
(2.16332e-06,2.19132e-06)
(-1.96258e-06,-7.69028e-06)
(2.51032e-06,2.73941e-06)
(-2.08169e-06,-7.70399e-06)
(2.5361e-06,2.97843e-06)
(-1.78943e-06,-6.37521e-06)
(2.12233e-06,2.62141e-06)
(-1.05153e-06,-3.63338e-06)
(1.22322e-06,1.5671e-06)
(-1.69346e-07,-1.03961e-06)
(3.32071e-07,2.14187e-07)
(-3.83033e-07,-2.1928e-06)
(7.04934e-07,5.00289e-07)
(-6.91453e-07,-3.83865e-06)
(1.17655e-06,9.71793e-07)
(-1.11676e-06,-5.87736e-06)
(1.82688e-06,1.6276e-06)
(-1.69733e-06,-8.35149e-06)
(2.58524e-06,2.50877e-06)
(-2.37829e-06,-1.08837e-05)
(3.34215e-06,3.55818e-06)
(-2.99576e-06,-1.27404e-05)
(3.98012e-06,4.57226e-06)
(-3.29526e-06,-1.30252e-05)
(4.07308e-06,5.0901e-06)
(-2.91218e-06,-1.08982e-05)
(3.44571e-06,4.60251e-06)
(-1.73694e-06,-6.2928e-06)
(1.97999e-06,2.78514e-06)
(-2.01996e-07,-1.35328e-06)
(4.23884e-07,2.97367e-07)
(-4.67146e-07,-3.08961e-06)
(9.10533e-07,7.08506e-07)
(-8.53226e-07,-5.36379e-06)
(1.56358e-06,1.35665e-06)
(-1.42696e-06,-8.47238e-06)
(2.47629e-06,2.31225e-06)
