(-0.0068607,-0.00324227)
(0.00324154,-0.00138758)
(0.00016838,0.000810463)
(0.00320464,-0.00182296)
(0.00418864,-0.00707316)
(0.00328051,-0.00529662)
(0.0104672,-0.00519348)
(-0.000887136,0.00531362)
(0.00863116,-0.00117813)
(-0.00673341,0.0139113)
(0.00301542,-0.000857694)
(-0.00756015,0.0150194)
(0.00171531,0.00214089)
(-0.0145637,0.00547735)
(-0.00501902,0.000459371)
(-0.0137362,0.00503953)
(-0.0113795,0.000530554)
(-0.0107246,0.00138248)
(-0.0102177,-0.000199835)
(-0.00527723,-0.00324986)
(0.00309017,-0.00202074)
(0.00597789,-0.00292922)
(0.00619111,-0.00629577)
(0.00229926,-0.00712461)
(0.0115317,-0.0145003)
(-0.0012539,-0.00891991)
(0.0147687,-0.0074312)
(-0.00534092,0.00823698)
(0.00891951,-0.000602146)
(-0.00701765,0.0219395)
(0.00022866,0.00793016)
(-0.00639178,0.0207002)
(-0.00419605,0.0092942)
(-0.0144383,0.00968228)
(-0.0125108,0.00567208)
(-0.0204709,0.00410571)
(-0.0108493,0.00496092)
(-0.0215923,0.00156916)
(-0.00495173,-0.00363166)
(-0.012933,-0.000685385)
(0.0107139,-0.00137892)
(0.0025166,-0.00218418)
(0.0156276,-0.0070084)
(-0.00465744,-0.00720249)
(0.0180301,-0.0176627)
(-0.00693448,0.000340085)
(0.0121594,-0.0151351)
(-0.00781751,0.00634712)
(0.00915343,-0.00807645)
(-0.00634809,0.0114423)
(-0.00543568,0.00252939)
(-0.00893874,0.0109671)
(-0.00465951,0.00451837)
(-0.0141412,-0.00305146)
(-0.0112319,0.00330171)
(-0.0123683,-0.00196271)
(-0.00762165,-0.00244515)
(-0.0172264,0.00511629)
(0.00044005,0.000534876)
(-0.0119522,-0.000395872)
(0.00512861,-0.0063665)
(-0.00835346,-0.00432221)
(0.0107234,-0.00613245)
(0.000278966,-0.00396553)
(0.0114219,-0.0103477)
(-0.00848774,-0.00233064)
(0.0177313,-0.00656259)
(-0.0127195,0.00803841)
(0.00730356,-0.00204357)
(-0.0111973,0.0109322)
(-0.00450505,0.00300202)
(-0.0181716,0.00127488)
(-0.00969033,-0.00615733)
(-0.0124586,-0.00556509)
(-0.00983863,-0.00218781)
(-0.00292072,-0.0118181)
(-0.001695,-0.00234393)
(-0.00690579,-0.00131368)
(0.00350813,0.000594063)
(-0.0063084,0.000118754)
(0.000205931,0.00397889)
(-0.00133008,0.00119198)
(0.00476207,-0.00164999)
(-0.00403742,-0.00544259)
(0.0180721,-0.00520941)
(-0.0058065,0.00466811)
(0.0138084,-0.0043177)
(-0.0115441,0.0055981)
(0.00548906,0.00709929)
(-0.0258314,0.00783399)
(-0.0051852,-0.00347416)
(-0.0235919,0.00487465)
(-0.00629194,-0.00762778)
(-0.00744536,-0.0112388)
(0.0014571,-0.00331498)
(-0.00864001,-0.0078123)
(0.00353764,0.000581826)
(-0.00639107,-0.00665024)
(0.00102358,0.00656325)
(-0.00621933,-0.0052177)
(-0.00616917,0.00274114)
(0.00202415,-0.00908704)
(-0.007197,0.00442215)
(-0.000301309,-0.0105464)
(-0.00210609,-0.00495232)
(-0.00531172,0.000336682)
(0.00588756,-0.00604673)
(-0.0163482,0.0123095)
(-0.00589674,-0.00368883)
(-0.0190375,0.0192971)
(-0.00653475,-0.00207986)
(-0.0141966,0.010205)
(-0.00621017,-0.00836143)
(-0.00207386,0.00118144)
(0.00128066,-0.00300023)
(0.00131685,-0.0115066)
(-0.00121205,0.00102998)
(-0.00814552,-0.00990792)
(-0.000135347,0.00320599)
(-0.000120711,-0.00849654)
(-0.00603528,0.00781197)
(0.00216741,-0.0115658)
(-0.0082186,0.00471288)
(-0.00189295,-0.0103905)
(-0.00236706,-0.00247306)
(-0.00879187,-0.00144695)
(-0.00475679,-0.00458618)
(-0.012468,0.0169297)
(-0.00859839,-0.000767826)
(-0.0191871,0.0193788)
(-0.00851485,-0.000854785)
(-0.000860339,0.0103783)
(-0.00974155,-0.00207332)
(0.0115135,-0.00560414)
(-0.0105916,-0.00257996)
(0.0110465,-0.00527595)
(-0.00799305,-0.00215054)
(0.00657797,-0.01325)
(-0.003556,0.00105663)
(0.00398192,-0.00697037)
(-0.00284655,0.00272106)
(0.00587002,-0.00617851)
(-0.00524149,0.00449184)
(-0.00078769,-0.0140657)
(-0.00198831,0.00494572)
(-0.00778159,-0.00797102)
(-0.00912987,0.00169482)
(-0.015745,0.00675747)
(-0.00815786,-0.00476339)
(-0.00799436,0.0117708)
(-0.00286012,-0.00736766)
(0.00139967,0.00456154)
(-0.00705312,-0.00605773)
(0.010709,-0.0042203)
(-0.0092934,-0.00198102)
(0.0148271,-0.0108038)
(-0.00679663,0.00129557)
(0.0153643,-0.0119781)
(-0.00391868,-0.000413142)
(0.00869782,-0.00594017)
(0.00077767,0.00136445)
(0.00749888,-0.00332746)
(-0.000850781,-0.000177107)
(0.0105061,-0.00910357)
(-0.00411716,-7.36742e-05)
(0.00153764,-0.0146036)
(-0.00626934,-9.94894e-06)
(-0.00992543,-0.000750231)
(-0.0049741,-0.00440058)
(-0.0127361,0.00411951)
(-0.00364178,-0.00185484)
(-0.00898743,0.000259699)
(-0.00644538,-0.00272366)
(0.00255377,-0.0058491)
(-0.00930868,-0.00306444)
(0.011148,-0.00882624)
(-0.00225353,0.000800605)
(0.0122435,-0.00910104)
(-0.00149865,-0.00459507)
(0.00876115,-0.00799682)
(-0.000657608,-0.0092341)
(0.0115621,-0.0049288)
(-0.00220062,0.00200239)
(0.0143778,-0.00643788)
(-0.00490671,0.000776713)
(0.00341597,-0.00632741)
(-0.00646324,-0.00982133)
(-0.00542569,-0.00653928)
(-0.00683341,-0.00772673)
(-0.0102914,-0.00288419)
(-0.00211633,-0.00282524)
(-0.00852754,-0.00244555)
(-0.00120225,-0.000731392)
(-0.000481674,-0.00715258)
(-0.00288954,-0.00254609)
(0.00353655,-0.00606053)
(0.00494361,-0.0025393)
(0.005678,-0.00662087)
(0.00477295,0.000826033)
(-0.000234953,-0.00687158)
(-0.00273891,-0.000866882)
(0.00827485,0.000298194)
(-0.00645026,-0.00660336)
(0.004195,-0.00529964)
(0.00507652,-0.00956833)
(-0.0073868,-0.00598925)
(0.00539962,-0.00558947)
(-0.0172029,0.0042554)
(0.00662871,-0.00343546)
(-0.010525,0.0183158)
(-0.00157205,0.00244061)
(-0.00801694,0.0155837)
(-0.00207979,0.0051802)
(-0.0165553,0.00571983)
(-0.00826841,0.00470462)
(-0.0147684,0.00816805)
(-0.00637697,0.00548677)
(-0.0179449,-0.00589777)
(-0.0119815,-0.000216552)
(-0.00976836,-0.0032363)
(-0.00339206,0.000760623)
(0.00585109,-0.00166705)
(0.00502514,-0.00373197)
(-0.00442409,-0.0114348)
(0.0188029,-0.0137441)
(-0.017894,-0.00621977)
(0.0178928,-0.00329291)
(-0.0225946,0.0117942)
(0.0110509,-0.00730229)
(-0.0174018,0.0198404)
(-0.00713524,0.0106424)
(-0.0096961,0.018215)
(-0.00425021,0.0126625)
(-0.013026,0.00508387)
(-0.014432,0.00742107)
(-0.0229361,0.00373736)
(-0.00951548,0.0052369)
(-0.0283206,-0.00369671)
(-0.00434114,0.0025634)
(-0.0189185,-0.00895019)
(0.00112774,-0.00382572)
(-0.00307487,-0.00278741)
(0.00714924,-0.0109247)
(-0.00839776,-0.00285859)
(0.0243986,-0.0151616)
(-0.0252499,-0.000117226)
(0.0358337,-0.0147254)
(-0.0206453,0.0110986)
(0.00710809,-0.00468388)
(-0.0138652,0.0184936)
(-0.00354414,0.0036053)
(-0.00553365,0.00953971)
