(-0.00782305,0.00751365)
(-0.00227279,0.00418511)
(-0.0195218,0.0164537)
(-0.0112342,0.0137053)
(-0.010722,0.00848667)
(-0.0253141,0.0135151)
(-0.0106443,-0.0136509)
(-0.00516549,0.0135647)
(-0.0223982,-0.0100822)
(0.0102748,0.0165036)
(-0.0203227,0.0137151)
(0.016291,0.000425895)
(-0.00521487,0.0216761)
(0.00332936,-0.0172327)
(-0.00275617,0.0149018)
(0.00575361,-0.00632312)
(-0.0120116,-0.0101999)
(0.00794652,-0.0151383)
(-0.0218843,0.003382)
(0.0127271,0.00131048)
(-0.0164048,0.0146448)
(-0.000185785,0.0143506)
(-0.00057422,0.0149189)
(-0.0119909,0.0266968)
(0.00104454,0.0293188)
(-0.020292,0.0151451)
(-0.00804895,0.00627776)
(-0.0065458,0.0254178)
(-0.0181805,0.00430674)
(0.00802416,0.0135444)
(-0.01733,0.0179832)
(-0.00108668,0.00473895)
(-0.011476,0.0112187)
(-0.00142749,-0.00665957)
(-0.00170181,0.0145497)
(-0.00747267,-0.00762118)
(-0.0144062,0.00316831)
(0.0146753,-0.00143043)
(-0.0053594,0.011393)
(0.0180876,-0.00887609)
(-0.0119299,0.0208943)
(-0.0111277,0.0120704)
(-0.0140367,0.0158095)
(0.00247931,0.0104807)
(-0.00602189,0.0129866)
(-0.00180494,0.0099176)
(0.00977984,0.0124437)
(-0.0146709,0.0151144)
(-0.015808,0.00616327)
(-0.0108781,0.00516383)
(-0.00386702,0.00771208)
(-0.0160097,0.00409897)
(-0.0170929,0.0113881)
(-0.0187745,-0.0015495)
(0.00362161,0.0152145)
(-0.0159644,-0.0180904)
(0.0156856,0.0165433)
(0.00687619,-0.00418769)
(0.00354296,0.00611224)
(0.023481,0.000424837)
(-0.00698097,0.000483697)
(-0.00069804,-0.00154149)
(-0.0189023,0.00709338)
(-0.00616908,0.00208118)
(-0.0126123,0.0197972)
(-0.0116587,0.0147537)
(0.00138215,0.0138798)
(-0.00885738,0.0104357)
(0.00637159,0.00472119)
(-0.0152763,-0.011967)
(-0.00876019,-0.00934654)
(-0.0223155,-0.0125709)
(-0.00602524,-0.000785789)
(-0.0157753,-0.00294894)
(0.00245586,0.00428901)
(-0.00770548,-0.0129047)
(0.0131603,0.00128751)
(0.00927462,-0.00403139)
(0.0192628,0.0105918)
(0.0135631,-0.00604268)
(-0.00158672,0.0238786)
(-0.00211828,-0.00807059)
(-0.0101497,0.0150364)
(-0.0194996,-0.00527025)
(-0.010544,0.0234705)
(-0.000296061,-0.00208944)
(-0.00333691,0.0123599)
(0.0116399,0.00742441)
(-0.00584157,0.00113342)
(-0.0038276,-0.0044446)
(-0.00634986,-0.00283754)
(0.000173656,-0.012421)
(-0.00193418,0.000813566)
(-0.00077595,-0.00830197)
(-0.00197771,0.0100856)
(0.0119527,-0.00900093)
(0.0124053,0.010961)
(0.0275497,0.000256479)
(0.0258774,0.000209334)
(0.0129835,0.00927651)
(0.00172681,0.0116248)
(-0.00556692,-0.00916676)
(-0.00459997,0.0107685)
(-0.0100682,-0.0139037)
(-0.00470872,0.0173513)
(-0.00802563,0.0170157)
(-0.00383867,0.00821644)
(0.0037518,-0.00836843)
(-0.0107762,-0.00535593)
(0.00979829,-0.00544471)
(-0.0100263,-0.0078764)
(0.0113,-0.0071042)
(0.00671597,0.000504404)
(0.0174128,0.000632638)
(0.00107148,0.0138537)
(0.0335671,0.000147625)
(0.00679997,0.0164609)
(0.0286912,0.000722181)
(0.0207087,0.0075631)
(0.00844723,-0.000802238)
(0.0120304,0.0116342)
(0.00708822,-0.00898848)
(0.000687556,0.0116193)
(-0.00214624,-0.00958839)
(0.00665157,0.014625)
(-0.0105017,-0.00293622)
(-0.000624825,0.00500479)
(-0.00967468,-0.00993468)
(0.00356742,0.00720346)
(0.00313193,-0.00959205)
(0.00128078,0.00412458)
(-0.00921017,-0.0106777)
(0.00916106,0.000296226)
(0.00183806,-0.0170277)
(0.00487696,0.0106876)
(0.0156489,-0.00335041)
(0.0126996,0.0227418)
(0.0230988,0.00224885)
(0.01113,0.0107214)
(-0.00137633,0.00520936)
(0.0060409,0.0184339)
(0.015162,-0.00320163)
(0.00890235,0.011998)
(0.0220213,-0.00410119)
(0.0145184,-0.000723167)
(0.00640255,-0.0207996)
(0.0148082,-0.000460615)
(0.00361324,-0.0313085)
(0.00510359,-0.00222502)
(-0.00692196,-0.0287175)
(0.0178004,0.00513225)
(0.00337942,-0.0134523)
(0.011026,0.00438178)
(0.0061064,-0.00682771)
(0.00531256,-0.00447249)
(0.0141112,-0.00252907)
(0.0124249,0.00642714)
(-0.00667415,-0.000689658)
(0.00398548,0.0112641)
(-0.00827748,-0.00190062)
(0.00669077,0.00873831)
(0.019211,-0.00723151)
(0.00478863,0.0232938)
(0.0191828,-0.00137101)
(-0.0029033,0.0204303)
(0.0105512,-0.00565911)
(-0.00261562,-0.000683503)
(0.00231378,-0.0158198)
(-0.0025162,-0.00974446)
(0.00808855,-0.00203571)
(0.00643821,0.0114112)
(0.010397,-0.00855889)
(0.00451596,0.00924506)
(0.0126018,0.00299397)
(0.00377975,0.00146454)
(-0.0157671,0.0129243)
(-0.00794451,-0.0119526)
(-0.00378615,0.00229085)
(0.0164159,-0.00167952)
(-0.00335167,-0.00305645)
(0.00270294,-0.00317057)
(0.0119123,-0.00131512)
(-0.000419462,0.00949872)
(0.0233131,0.00957948)
(-0.00438119,0.011408)
(0.0107151,0.00374348)
(-0.00187389,0.0018758)
(0.000104779,0.0092542)
(-0.0144223,-0.00554613)
(0.00959936,0.0142)
(-0.0145794,0.0175519)
(0.00470759,0.0106015)
(-0.0213511,0.0185228)
(0.00230059,0.0148528)
(-0.0270267,-0.00350735)
(-0.0199373,0.00618444)
(0.00269782,0.000800054)
(-0.00882858,0.00812804)
(-0.0106454,0.00502583)
(0.00291487,-0.0074787)
(-0.0190697,-0.000767653)
(0.00406949,0.00302858)
(-0.00963213,0.00631277)
(-0.0256163,-0.0031194)
(-0.0173238,0.00786363)
(-0.0250123,0.0110638)
(-0.0315985,-0.008199)
(0.0129617,0.0229346)
(-0.0248419,-0.00755272)
(0.014922,0.0194301)
(-0.0300094,0.0207758)
(0.00565743,0.00221754)
(-0.012885,0.0226194)
(0.00229123,0.00102701)
(-0.00261633,0.00361706)
(-0.00706314,-0.0187485)
(-0.0191679,0.00545801)
(0.00352391,-0.00811545)
(-0.0167378,0.000618544)
(0.00315182,-0.0137583)
(-0.00777325,0.0035674)
(-0.0109969,0.00526213)
(-0.0209424,0.0186886)
(-0.00960327,0.00816776)
(-0.021029,0.0219802)
(-0.0102162,0.00380881)
(-0.00772939,0.0123936)
(-0.00214046,0.0281219)
(-0.0345661,0.010223)
(0.00737185,0.0118053)
(-0.0136009,0.0217584)
(-0.0208881,-0.00876873)
(-0.0194921,0.0149192)
(-0.0175827,-0.00951914)
(-0.0191355,-0.00507472)
(-0.00562408,-0.0186065)
(-0.0118389,0.00527547)
(0.00586146,-0.00261183)
(-0.0231788,0.00102864)
(0.00900516,-0.0051937)
(-0.0171115,0.0144502)
(-0.0141741,0.00673177)
(-0.0231978,0.0200486)
(-0.00533648,0.00846007)
(-0.0138916,0.0362692)
(-0.00679653,0.0129724)
(-0.015719,0.0265209)
(0.00627497,0.00821191)
(-0.00607515,0.0208934)
(-0.0147229,-1.48881e-05)
(-0.0204816,0.00890868)
(-0.0217509,-0.0119758)
(-0.0259768,0.00876806)
(-0.0144803,-0.00178129)
(-0.0230281,0.00866673)
(0.00083533,-0.010778)
(-0.0112012,0.00221484)
(0.0119723,-0.0171357)
(-0.00601664,0.0161374)
(0.0243476,-0.0175967)
(-0.0105332,0.015097)
(-0.0125973,0.0110148)
(-0.0185881,0.000837715)
(-0.0132213,0.013357)
(-0.0193799,0.00359567)
(0.00348196,0.0113979)
(-0.00287087,-0.000526678)
