(0.00558184,-0.00325926)
(0.00541142,0.00979232)
(0.00239826,-0.00910471)
(0.00566726,0.0133028)
(-0.00570011,0.00258981)
(0.00398895,0.0134578)
(-0.00801519,0.00548457)
(-0.00326958,0.0102818)
(-0.00536117,0.00744887)
(-0.00577232,-0.00224992)
(-0.00315668,0.00843559)
(-0.00343371,-0.0139304)
(-0.00179991,0.00319869)
(-0.0101606,-0.0151342)
(0.00639527,-0.00575647)
(-0.00565667,-0.00531772)
(0.00309069,0.00437475)
(-0.0100015,-0.00309572)
(-0.00258615,0.00497306)
(-0.00309327,-0.00906527)
(0.00636116,-0.00015716)
(0.00667106,0.0125253)
(0.000675887,-0.0085059)
(0.00592991,0.0131966)
(-0.0042946,0.00762155)
(-0.00596067,0.0209493)
(-8.93695e-05,0.0103096)
(-0.00661992,0.0129072)
(-0.00998277,0.0112395)
(-0.0113956,-0.00757934)
(-0.0110663,0.00506351)
(-0.00383404,-0.0173348)
(0.00134471,0.00219136)
(-0.00674187,-0.0173176)
(0.00431883,-0.000553042)
(0.00471146,-0.00440548)
(-0.0018128,-0.00675289)
(-0.0029489,0.00527343)
(-0.00312688,0.00587239)
(-0.00204681,0.00324137)
(-0.00423381,-0.00343103)
(0.0110288,0.00146003)
(-0.00503182,-0.00291681)
(-0.00922185,0.0105437)
(0.000375602,0.00968141)
(-0.0139082,0.0161367)
(0.00264894,0.0212188)
(-0.0143301,0.00648823)
(-0.00432226,0.00833611)
(-0.0172125,-0.00423023)
(-0.00724107,0.00790191)
(-0.00309348,-0.0128997)
(-0.000759058,0.00034235)
(-0.00889493,-0.00307877)
(0.00924754,-0.000197488)
(0.00065228,-0.00902298)
(-0.00998132,-0.0133539)
(-0.00130585,0.0071053)
(-0.0147223,-0.00874255)
(-0.00148198,0.00813714)
(-0.00653297,-0.00115285)
(0.00179121,0.00267903)
(-0.00468031,0.00912506)
(-0.0083133,0.0161708)
(-0.00788016,0.0190131)
(-0.0166932,0.0150193)
(-0.0032227,0.0215269)
(-0.00423816,0.00590265)
(0.010074,0.0174538)
(0.0020346,-0.000476715)
(-0.00129643,0.0168752)
(0.00334886,0.00456509)
(-0.00293236,0.00934149)
(-0.00703199,-0.00123331)
(-0.00336134,0.00748533)
(-0.00836001,0.00701653)
(-0.00584654,-0.0158075)
(-0.0142305,0.00849277)
(-0.00456769,-0.00987356)
(-0.0019513,0.00626896)
(-0.00232666,0.00566793)
(-0.00525644,0.00858475)
(-0.0080896,0.0182129)
(-0.0145286,0.00461412)
(-0.0159614,0.0172076)
(-0.00101585,0.00136272)
(-0.00428764,0.0165124)
(0.00825459,-0.000708777)
(-0.00285315,0.0149012)
(-0.000385059,0.00508786)
(0.000471957,0.0107425)
(-0.000969053,0.00564218)
(-0.00881713,0.0142482)
(-0.00533902,-0.00457556)
(-0.0133466,0.000608622)
(-0.00888524,-0.00541212)
(-0.0125003,0.00157692)
(-0.00919408,0.0079326)
(-0.00848989,-0.0161969)
(0.00176892,0.0130963)
(-0.000545565,-0.00167365)
(-0.014593,0.0193099)
(-0.00664886,0.0105014)
(-0.0122706,0.0197273)
(-0.0195734,0.00987229)
(-0.000927828,0.00829179)
(-0.00905026,0.0138555)
(0.00080852,0.00179696)
(-0.00686708,-0.00271759)
(0.00286898,0.0071959)
(-0.0119821,0.000332014)
(0.000780468,0.0076217)
(-0.0182551,0.00748418)
(0.00145533,-0.00209257)
(-0.0225601,0.0204255)
(0.00272047,-0.00508283)
(-0.0173359,0.000134008)
(0.00371864,0.00945005)
(-0.00486384,-0.00937296)
(0.00355621,0.0121174)
(-0.0101858,0.00114915)
(-0.0145989,0.022506)
(-0.00666903,0.00361054)
(-0.000560499,0.0259176)
(-0.0196636,0.0054039)
(-0.000357466,0.0151075)
(-0.0152109,-0.00185699)
(0.00453681,-0.00644349)
(-0.0139359,-0.0144528)
(0.00541711,-0.00211726)
(-0.0176754,-0.00976757)
(-0.00907758,0.00211902)
(-0.022848,0.0142505)
(-0.00656738,-0.00889295)
(-0.0205726,0.0170931)
(-0.00781465,-0.00933936)
(-0.0164352,0.00598447)
(-0.000614678,0.00572747)
(-0.00858618,-0.00913383)
(0.00258758,0.000796062)
(-0.0147961,0.00413995)
(-0.010602,0.0173028)
(-0.0119365,-0.00269337)
(-0.00892143,0.0244094)
(-0.00542224,-0.00302148)
(0.00484067,0.00712719)
(-0.00774883,-0.00870964)
(0.00316374,0.00210565)
(-0.0113607,-0.00923901)
(0.00752994,0.00238653)
(-0.0132468,-0.00407375)
(-0.000325855,-0.00387865)
(-0.0144531,0.00347534)
(-0.00916578,-0.0115977)
(-0.011545,0.00758002)
(-0.0109983,-0.0190898)
(-0.00499755,-0.0141472)
(0.000779289,-0.0152255)
(-0.00223227,-0.00609829)
(0.00333753,-0.00501345)
(-0.0111622,-0.00125334)
(-0.00715805,0.0142805)
(-0.0205828,-0.0134416)
(-0.00177221,0.018417)
(-0.016294,-0.0140465)
(0.00451319,0.0201675)
(-0.00914483,-0.000871731)
(0.00920086,0.0145823)
(-0.0114221,0.00297163)
(0.0128516,0.013099)
(-0.0167755,0.0045065)
(0.00546359,-0.00476465)
(-0.00724852,0.0171704)
(-0.000140514,-0.00831333)
(-0.00523248,-0.000386502)
(-0.00146364,-0.0223827)
(0.00170741,-0.00376719)
(4.00285e-05,-0.0116713)
(0.000467324,-0.00644536)
(0.00246463,-0.0169353)
(-0.0102156,-0.00666537)
(-0.00385458,0.00298148)
(-0.0146501,-0.0103992)
(-0.00149766,0.0184819)
(-0.00661572,-0.011504)
(0.00678067,0.012388)
(-0.00306922,-0.00296573)
(0.0107923,0.0200923)
(-0.00854647,0.00108543)
