(-0.00359382,-0.000174527)
(0.0028885,-0.00376249)
(-0.0069625,-0.00247746)
(-0.00744604,-0.00375434)
(-0.00478721,-0.00186249)
(-0.00930522,0.00248809)
(-0.00765944,-0.00143656)
(-0.0117736,0.00203082)
(-0.000425518,0.000808254)
(-0.00894298,0.00238018)
(-0.00527598,0.00249888)
(-0.00236689,0.0047914)
(-0.0106893,0.00224607)
(-0.00605315,0.0039942)
(-0.00912207,0.00552848)
(-0.00259774,0.00847219)
(-0.00287246,0.00450735)
(-0.00212747,0.00351552)
(-0.00518145,0.00126401)
(0.00113326,0.00510446)
(-0.00214352,-0.00149553)
(-0.0012345,0.000715808)
(-0.00907836,-0.00236776)
(-0.00359031,0.00097975)
(-0.0137197,0.000439748)
(-0.00365182,-0.000933648)
(-0.0131373,0.00806209)
(-0.00911577,0.00124684)
(-0.0162481,0.000404633)
(-0.014158,0.00475973)
(-0.0088901,0.00490166)
(-0.0113214,3.94807e-05)
(-0.0136991,0.00105336)
(-0.0111393,0.00928322)
(-0.0157837,0.00490605)
(-0.00695171,0.00793956)
(-0.0115708,2.34276e-05)
(-0.00093404,0.0114306)
(-0.00200336,0.00620418)
(3.41424e-05,0.00457408)
(-0.00483418,-8.34806e-05)
(-0.00428824,0.00209745)
(-0.0109055,-0.0039925)
(-0.0126727,-0.00104117)
(-0.0179901,0.00507731)
(-0.00772948,0.00387405)
(-0.0208444,0.00767167)
(-0.0116191,0.00520146)
(-0.0163825,0.00917138)
(-0.0141314,0.00387053)
(-0.0191745,0.0124006)
(-0.0111855,0.00816282)
(-0.0184649,0.00473723)
(-0.00646923,0.000733909)
(-0.0157823,0.00257148)
(-0.00262101,0.00951472)
(-0.00507825,0.00273864)
(-0.00139464,0.007198)
(-0.000896879,-0.000641683)
(0.0021829,0.0105358)
(-0.00543912,-0.00435876)
(-0.00467153,-0.00469138)
(-0.00729045,5.99489e-05)
(-0.0194167,-0.00277007)
(-0.0121418,0.000518506)
(-0.0153876,0.00161893)
(-0.0159775,0.00620344)
(-0.0100455,0.00643981)
(-0.017328,0.00996315)
(-0.0122512,0.00390718)
(-0.0246577,0.00650774)
(-0.00269097,0.0109575)
(-0.0206328,0.00229465)
(-0.0081584,0.00548165)
(-0.0114045,-0.00124335)
(-0.00553778,0.00236137)
(-0.00195919,-0.000187384)
(0.0049542,0.00273667)
(0.00710947,-0.000383888)
(0.00490356,0.0019079)
(-0.010938,-0.000309935)
(-0.00762486,-0.00255115)
(-0.0055288,-0.00110006)
(-0.0202283,-0.00484891)
(-0.0111555,0.00252218)
(-0.0196083,0.00768355)
(-0.0117437,0.00354538)
(-0.0147725,0.00811256)
(-0.0101983,0.00217822)
(-0.00692607,0.0157117)
(-0.0167717,0.00507211)
(-0.00267844,0.0116476)
(-0.0178005,0.0014914)
(-0.00310003,-8.8878e-05)
(-0.00959242,-0.00758199)
(-0.00396621,0.00215927)
(0.00278716,-0.00291901)
(0.00443583,-0.00258655)
(0.00302551,-0.00704393)
(0.000611665,-0.00135329)
(-0.0106685,0.000257345)
(-0.00325352,-0.00230953)
(-0.00866895,0.00764498)
(-0.0103171,-0.000992844)
(-0.00754334,0.00443836)
(-0.0142731,0.00582333)
(-0.00491638,-0.00213745)
(-0.00466346,0.00896413)
(-0.00381429,0.00237642)
(0.00150624,0.0124635)
(-0.00795098,0.00251916)
(0.00155511,0.00909772)
(-0.00715019,0.00269578)
(0.00197038,0.00231491)
(-0.00754397,-0.00707481)
(-0.00484202,0.0053478)
(-6.57648e-05,-0.00491929)
(0.0021204,0.00251452)
(0.00491053,-0.00103539)
(-0.00519486,0.00309223)
(-0.0103159,0.000772249)
(0.0023251,0.00153792)
(-0.00774443,0.0085445)
(-0.00150146,-0.00337641)
(-0.00634781,0.0053204)
(-0.000291749,6.11027e-06)
(0.000705039,0.00667419)
(-0.00398133,0.000744299)
(-0.000542178,0.00345813)
(0.00412458,0.00832906)
(-0.00964723,0.00600277)
(0.002517,0.00665921)
(-0.0105886,-6.11918e-05)
(-0.001632,-0.00102045)
(-0.00991651,-0.00280266)
(-0.000766803,0.0047543)
(-0.00536839,-0.00512525)
(-0.00188101,0.00406493)
(-0.00389501,-0.00523842)
(-0.00139015,0.00113482)
(-0.00871305,-0.00535843)
(0.00540253,-0.00308941)
(-0.00442335,8.54932e-05)
(0.00305893,-0.00595938)
(0.000176831,0.00976196)
(0.00212364,-0.0119524)
(0.0020519,0.00343709)
(0.00504661,-0.00370923)
(0.00194504,0.0140795)
(0.00607242,-0.0047078)
(-0.0014642,0.0115532)
(0.00560449,-0.00491201)
(-0.00852562,0.00601349)
(0.00258436,-0.00202983)
(-0.0153498,0.00076851)
(-0.00121176,0.000417079)
(-0.0103257,-0.00264621)
(-0.00234983,-6.75224e-05)
(-0.00537904,-0.00157529)
(-0.00277273,0.000159903)
(-0.00263742,1.95066e-05)
(0.00790902,-0.000720773)
(0.000450225,-0.00146187)
(0.00633462,-0.00913899)
(0.000921679,0.00518096)
(0.00626393,-0.0100768)
(-0.00156036,0.0140296)
(0.00863202,-0.00953661)
(-0.00120948,0.0106818)
(0.00671087,-0.00859554)
(-0.00348057,0.00721878)
(0.00274654,-0.0134557)
(-0.00627298,0.00763855)
(0.000817562,-0.0102211)
(-0.00921674,0.0060675)
(0.000421458,-0.00445497)
(-0.00993302,0.00300849)
(-0.000835064,7.39531e-05)
(0.0022437,0.0015249)
(-0.00295101,0.00103921)
(-0.00259558,-0.00702132)
(0.00527926,0.00204555)
(-0.00348369,0.000784224)
(0.00437313,-0.00577908)
(0.00475676,0.00505097)
(0.00812821,-0.0072921)
(0.00070293,0.00346395)
(0.00985416,-0.00627709)
(-0.00240327,0.00540485)
(0.00552219,-0.00669122)
(-0.00360935,0.00154082)
(0.00441078,-0.0115415)
(-0.00650688,0.0070195)
(0.00369256,-0.0114048)
(-0.00792612,0.00252908)
(0.000776096,-0.00813438)
(-0.000378594,0.0078635)
(-0.00269968,-0.00412259)
(0.000598898,0.00364302)
(0.00480341,-0.00171862)
(-0.00628982,0.00317069)
(-0.00220392,-0.0025004)
(-0.0064664,0.00377331)
(-0.00731351,-0.00601604)
(-0.00694407,0.00284952)
(-0.00959144,-0.0103934)
(-0.00383234,0.00450702)
(-0.0036825,-0.00404244)
(-0.00961103,-0.00316746)
(-0.00824433,-0.00758993)
(-0.00555815,0.000822103)
(-0.00697717,0.000797431)
(-0.00895771,0.00146855)
(-0.005711,0.00588394)
(-0.00899851,0.00106991)
(-0.00164165,0.0103317)
(-0.0105398,0.00534317)
(-0.00319008,0.00954629)
(-0.0053101,0.005192)
(0.00506732,0.00672644)
(-0.00721506,-9.0769e-05)
(-0.00230652,0.00265541)
(-0.0185097,0.00438059)
(-0.00880149,-0.0079418)
(-0.0194226,0.00835189)
(-0.0031339,-0.00568853)
(-0.0217235,0.00769205)
(-0.0196682,-0.00257953)
(-0.0167111,0.00210879)
(-0.0149851,-0.00175121)
(-0.0115575,0.00312209)
(-0.017912,0.00245529)
(-0.0174227,0.00075217)
(-0.0213114,0.00360304)
(-0.0171434,0.000738361)
(-0.00734311,0.016142)
(-0.00111955,0.00559566)
(-0.00579451,0.015572)
(-0.00551869,-0.00303168)
(0.00117892,0.0123908)
(-0.00611891,0.000473337)
(-0.0125321,-0.00510774)
(-0.0190276,0.00594585)
(-0.016209,-0.00289332)
(-0.0245061,0.0109313)
(-0.0161156,-0.00362343)
(-0.0278643,0.00995689)
(-0.0183466,0.00423543)
(-0.0235606,0.0126407)
(-0.0203777,-0.0036998)
(-0.0280331,0.0106713)
(-0.018018,0.00458712)
(-0.0185139,0.00327183)
(-0.0225237,0.00570855)
(-0.0180236,0.0013126)
(-0.0162693,0.0109997)
(-0.00620645,-0.00190961)
(-0.00105077,0.0141469)
(-0.000153614,0.000886178)
(0.00450654,0.0155436)
(-0.00568634,-0.0020531)
(-0.0120461,-0.000956942)
(-0.0141109,-0.00456362)
(-0.0336139,-0.00514161)
(-0.0186417,0.00493072)
(-0.0255745,0.00792938)
(-0.0244744,0.00892428)
(-0.0236655,0.00293122)
(-0.0277651,0.0118344)
(-0.0168789,0.00563917)
(-0.031448,0.0163328)
(-0.0183536,0.0077375)
(-0.0363785,0.010746)
(-0.00968106,0.00512747)
(-0.0224963,-0.00731388)
(-0.0154502,0.0078764)
(-0.00395005,-0.0025985)
(-0.0010362,0.00946035)
(0.00633344,-0.00283712)
(0.00488721,0.00556179)
(-0.0103396,0.00145325)
(-0.0132041,-0.00601371)
(-0.0108319,0.00376601)
(-0.0235429,0.00461272)
(-0.00994373,0.005946)
(-0.0269865,0.00984683)
(-0.0142709,0.00654315)
(-0.0103214,0.0133583)
(-0.0176277,0.0213556)
(-0.0091385,0.0133739)
(-0.0230222,0.0161983)
(0.0016207,0.0120423)
(-0.0148118,0.00802465)
(-0.00414389,0.00283785)
(-0.0103809,-0.000925876)
(-0.00221164,0.0027966)
(-0.000342666,-0.0104252)
(-0.000823097,0.00465373)
(0.0103169,-0.00583869)
(0.00255437,0.00394313)
(-0.015824,7.8999e-05)
(-0.0060663,-0.00105749)
(-0.0099334,0.00850208)
(-0.0146688,0.00254737)
(-0.00575846,0.0083826)
(-0.011808,0.00615912)
(-0.0148921,0.00583845)
(-0.0167618,0.00315086)
(-0.00609658,0.00829392)
(0.00136438,0.0175004)
(-0.00935185,0.00740943)
(0.00521381,0.0107396)
(-0.00685208,0.00358532)
(0.00163838,0.0057489)
(-0.00200352,-0.0114049)
(-0.00764877,0.00870225)
(0.00306348,-0.00632655)
(0.00132472,0.0110899)
(0.00737981,-0.00677717)
(-0.00351224,0.00122863)
(-0.0155104,0.00314731)
(0.00548306,0.00302297)
(-0.0123453,0.00601178)
(0.00420328,-0.00450794)
(0.00137361,0.0164859)
(-0.00245071,-0.00232554)
(0.00627702,0.00854906)
(-0.000408084,-0.00266939)
(-0.00373885,0.0130915)
(0.00383257,0.00441011)
(-0.00426974,0.00830512)
(0.00360782,-0.00311295)
(-0.00587608,-0.00183539)
(0.00698469,-0.00132162)
(-0.0015149,-0.00744086)
(0.000721648,0.00225511)
(0.00696434,-0.00550722)
(0.0031935,0.0161182)
(0.00965551,-0.00247167)
(0.00206508,0.00505862)
(-0.00940081,-0.00243377)
(0.00457641,-0.00201838)
(-0.00267358,0.00131278)
(0.0124575,-0.0117333)
(0.00737422,0.0039052)
(0.00701581,-0.0131056)
(0.0150604,0.0189844)
(0.0022169,-0.0105241)
(0.0103237,0.0133991)
(0.00506733,-0.00732085)
(-0.00632283,0.0104759)
(0.0114189,-0.00532204)
(-0.0080462,0.00149657)
(0.00788791,-0.00627904)
(0.000163442,-0.00246659)
(0.00359096,0.00720589)
(0.000949472,-0.00511285)
(0.00926915,0.0103586)
(0.00485917,-0.00817603)
(0.00133539,0.00688689)
(-0.00698673,-0.00515704)
(0.00957455,-0.00234065)
(-0.000611003,-0.00346589)
(0.0130662,-0.01248)
(0.0155481,0.0106572)
(0.0108058,-0.0164684)
(0.00530883,0.00732207)
(0.00764137,-0.0078526)
(0.00622115,0.0167073)
(0.00381027,-0.0101806)
(0.00032761,0.00777924)
(0.00668522,-0.00947638)
(-0.00970927,0.0106381)
(0.00949105,-0.00473048)
(-0.00381417,0.00729517)
(0.000861644,-0.00193764)
(0.0015297,0.00537737)
(0.00526209,-0.000499694)
(0.00304316,-0.000416559)
(0.00481726,0.00898635)
(-0.00230009,0.000568693)
(0.0102932,-0.00378825)
(0.00535511,-0.000498744)
(0.0100655,-0.00713524)
(0.00319401,0.00170044)
(0.00809719,-0.00690557)
(0.000665875,0.0116994)
(0.00330225,-0.00924373)
(0.000738302,-0.000434659)
(0.00936156,-0.00558694)
(-0.00706644,0.00684463)
(0.0123774,-0.0125675)
(-0.00884687,0.00928297)
(0.00635004,-0.00956436)
(-0.00518381,0.0134053)
(0.00817593,-0.000130472)
(-0.00360769,0.00673703)
(0.00895678,0.00361451)
(0.00262455,0.00154286)
(0.0021212,-0.000166812)
(-0.00332306,0.0050142)
(-0.00235953,-0.00526032)
(-0.00990436,0.0047324)
(-0.00813494,-0.011196)
(-0.00771073,0.00884767)
(-0.00329582,-0.00843544)
(-0.0115137,0.00559909)
(-0.0072449,-0.0141155)
(-0.00435875,-0.00297433)
(-0.00180604,-0.0137734)
(-0.00234159,-0.00526414)
(-0.00245161,-0.00846322)
(-0.00653861,-0.00626589)
(-0.00511772,0.00938345)
(-0.00654909,-0.00449029)
(0.00055273,0.00868024)
(7.70872e-06,-0.00287522)
(0.000884261,0.0187476)
(-0.00136099,-0.00141982)
(0.002121,0.00674587)
(-0.0025769,0.00576375)
(-0.00367047,-0.00564011)
(-0.00978718,0.00726805)
(-0.000433348,-0.00422425)
(-0.0107747,0.0141811)
(-0.00605334,-0.00896177)
(-0.011933,0.00591773)
(-0.00872597,-0.00573388)
(-0.0106524,0.00302265)
(-0.0194077,-0.0136948)
(-0.0111447,-0.00548834)
(-0.0176882,-0.00589983)
(-0.00932426,-0.00622279)
(-0.0226112,0.00201572)
(-0.0092328,-0.00651927)
(-0.013154,0.0151323)
(-0.00360313,-0.0116036)
(0.00303712,0.0134007)
(0.00401784,-0.00132213)
(0.00263364,0.0116413)
(-0.000584564,0.00801879)
(-0.0109507,0.001758)
(-0.0134618,0.0119804)
(-0.0147514,-0.0033154)
(-0.0172917,0.0153404)
(-0.0127295,0.00527423)
(-0.0215186,0.00658397)
(-0.0166329,-0.00795361)
(-0.0194655,0.00775226)
(-0.0232676,-0.0130786)
(-0.0210764,-0.00181892)
(-0.0159756,-0.00332375)
(-0.0184588,-0.00151557)
(-0.0168442,0.00279835)
(-0.0135554,-0.00642401)
(-0.0173676,0.00704943)
(-0.00300755,-0.00764988)
(-0.00583449,0.0182805)
(0.00335442,-0.0087139)
(0.00739817,0.00940059)
(-0.000659457,0.00158417)
(-0.0188412,0.00328902)
(-0.0140701,0.00630291)
(-0.0227743,0.00785447)
(-0.0221664,0.00879463)
(-0.0240683,0.0150418)
(-0.027256,0.0146776)
(-0.0205078,0.00136473)
(-0.0154303,0.020812)
(-0.0112687,-0.0122862)
(-0.027424,0.011154)
(-0.0088787,-0.00356451)
(-0.0166949,-0.000122471)
(-0.00941116,0.00524276)
(-0.0166249,-0.00484444)
(-0.00907237,0.007638)
(-0.00285616,-0.00611428)
(-0.00900314,0.00420024)
(0.00982404,-0.00303181)
(0.00260077,0.0115905)
(-0.00611729,0.0066183)
(-0.0127059,0.00366789)
(-0.00341978,0.0112038)
(-0.0279559,0.00921305)
(-0.0109926,0.0140653)
(-0.0186832,0.0195422)
(-0.00708411,0.0133351)
(-0.0186158,-0.00141697)
(-0.0160673,0.00824913)
(0.00694069,0.00464512)
(-0.00695698,0.016029)
(0.00840596,-0.00597834)
(-0.00833655,0.0186572)
(-0.00221688,0.00602084)
(0.00528731,-0.00200867)
(-0.0159599,0.00530035)
(0.00870069,-0.00459292)
(-3.91541e-05,0.0108793)
(0.0167895,-0.00261479)
(0.000556417,0.00330463)
(-0.00889123,0.0076031)
(-0.0129229,0.00325269)
(-0.011486,0.0201479)
(-0.0104128,0.00380369)
(-0.00754759,0.0137653)
(-0.0138869,-0.000828598)
(-0.00721466,0.00710488)
(-0.0142494,0.00726043)
(-0.0157581,0.0214898)
(-0.024334,0.0315883)
(-0.00247455,0.000120376)
(-0.0141529,0.0174599)
(0.0072395,-0.00210267)
(0.00126151,0.018062)
(0.0112542,-0.00233084)
(-0.00640392,0.0121838)
(0.0161961,-0.00996779)
(-0.00383728,0.0151097)
(0.0162526,-0.00505291)
(0.00176272,0.00672224)
(-0.0143892,0.00406963)
(-0.0057102,0.00159849)
(-0.00499286,0.0165357)
(-0.00452812,-0.00107924)
(0.00480749,0.0222965)
(-0.00319312,-0.00636994)
(-0.00366788,0.0226653)
(-0.0127927,-0.0129008)
(-0.0111803,0.0167757)
(-0.00561936,0.00344661)
(-0.0103761,0.00902247)
(-0.000503241,-0.0072783)
(0.00553417,0.00470136)
(0.00770836,-0.00720399)
(0.0100432,-0.0102044)
(0.00390983,0.00497871)
(0.0213271,-0.00151867)
(0.00255129,0.012771)
(0.0123853,-0.00144032)
(0.000500961,0.0114979)
(-0.0080565,-0.00209683)
(-0.00239271,-0.00148831)
(0.00253016,0.00607973)
(0.00173087,-0.00497113)
(0.0240855,0.0139194)
(-0.0037017,-0.0133423)
(0.0219682,0.0249616)
(-0.0117212,-0.0179747)
(0.00253859,0.0211509)
(-0.00235822,-0.00586552)
(-0.000274893,0.0137347)
(0.00404634,-0.0162404)
(-0.00364526,-0.0047439)
(0.0177273,-0.00725122)
(0.0125389,0.00166269)
(0.0108809,0.000919111)
(0.0136763,0.00262366)
(0.00835853,0.0154044)
(0.0132256,0.00175772)
(0.00339156,0.0123493)
(0.000158214,-0.00541427)
(0.00250883,-0.00182919)
(0.00596989,0.00138587)
(0.000272999,-0.00715196)
(0.0129623,0.00283764)
(0.00185381,-0.0084986)
(0.0184109,0.0147896)
(-0.00886928,-0.0128304)
(0.0120278,0.011162)
(-0.00299361,-0.00985052)
(-0.00277937,0.00264396)
(0.011717,-0.0118631)
(0.00411662,0.00845473)
(0.0127431,-0.00906372)
(0.00932993,0.0151609)
(0.0119771,0.00355287)
(0.0111772,0.00744303)
(0.0100405,0.00869201)
(0.00961428,0.00432807)
(0.00589249,0.010554)
(0.00246483,-0.000756765)
(0.00283585,-0.00401459)
(0.00615734,-0.00499002)
(0.00557465,-0.00843448)
(0.0102125,0.00428183)
(0.00486048,-0.0106991)
(0.00593886,0.0053495)
(0.00122846,0.000348379)
(0.00154778,0.00394541)
(0.00219142,-0.0071818)
(-0.000111653,0.00299047)
(0.00745915,-0.00818301)
(-0.00325683,0.0139593)
(0.00783908,-0.0094565)
(0.00652483,0.0109604)
(0.00708849,-0.0022691)
(0.00876541,0.00923768)
(0.00764127,0.00548583)
(0.00864797,-0.00379239)
(0.00474829,0.0065642)
(-0.00486528,0.0014356)
(-0.00245235,-0.00871438)
(-0.00606267,0.00253011)
(0.00206746,-0.0118774)
(0.00216137,0.00220507)
(0.000529003,-0.0143873)
(0.000113585,-0.00181084)
(0.00320251,-0.0091157)
(-0.00143743,-0.00842931)
(-0.00224718,-0.0155795)
(0.000917346,-0.00914591)
(-0.0015726,-0.00378243)
(-0.000516344,-0.0111549)
(-0.00393614,0.00434482)
(-0.00901264,-0.0117942)
(0.00328984,0.0112885)
(0.000675505,-0.00818462)
(0.00108013,0.00896481)
(-0.00178959,-0.00253554)
(0.00453644,0.00550347)
(-0.00261535,0.00904353)
(0.000947567,0.000227627)
(-0.00772879,0.00615126)
(-0.00395532,-0.00973808)
(-0.010577,0.000117099)
(0.000159469,0.00200735)
