(0.00055328,-0.00530702)
(0.00194655,-0.00523335)
(0.000341557,0.00689455)
(-0.00105629,-0.0016064)
(-0.00286957,-0.00458014)
(0.0011192,0.0011388)
(0.00870645,-0.0121018)
(-0.00469661,-0.0069936)
(0.00257602,0.000327086)
(-0.000738495,0.00310138)
(-0.00861132,-0.0101256)
(-0.00260703,0.00132838)
(-0.00177563,0.00427514)
(-0.0100623,-0.000189074)
(-0.0116338,-0.00186647)
(0.00299959,-0.00183549)
(0.00514006,1.49549e-05)
(0.0110577,-0.00246194)
(0.0132282,0.00185295)
(-0.00705735,-0.00411664)
(0.0151155,0.00433416)
(0.0096488,-0.00686995)
(-0.000883701,-0.00161948)
(0.00200211,-0.00216615)
(0.00263079,0.00514537)
(0.00509013,0.00103303)
(0.00545317,-0.00265957)
(0.00741844,0.00208231)
(-0.00932189,-0.0100673)
(0.011135,0.00274444)
(0.0107004,-0.00141804)
(0.010424,0.0120543)
(-0.00553644,-0.0124805)
(0.00246845,0.00420705)
(-0.00628379,0.0151029)
(-0.00637712,0.00308101)
(-0.00416162,0.00265964)
(-0.00265997,-0.00346312)
(0.00214199,0.00328943)
(0.00763246,0.00175054)
(0.00985958,-0.00224224)
(0.00399576,-0.00293332)
(0.00229121,-5.34236e-05)
(-0.00775925,-0.00332656)
(-0.00307244,-0.00484393)
(-0.00924251,-0.000696749)
(-0.00272679,0.00277548)
(-0.00103493,-0.00525669)
(0.012445,0.0117224)
(-0.00456626,0.00634671)
(0.00113295,-0.00667814)
(-0.00852938,-0.000649063)
(0.00549074,-0.0042174)
(0.00760012,-0.00514026)
(-0.0053133,0.00293579)
(-0.00366914,-0.0142432)
(0.00366844,0.00520563)
(-0.00739275,-0.00343704)
(-0.00206925,0.00641231)
(-0.00558696,0.00273115)
(-0.00190731,0.00129133)
(0.0102238,0.00239368)
(-0.00302438,-0.000651904)
(-0.00400271,-0.00386748)
(-0.000347687,-0.000910323)
(-0.00395585,0.00611853)
(0.0101312,0.00649105)
(-0.000684731,0.00845618)
(-0.00124804,-0.00507063)
(0.00312632,0.00536926)
(0.0107632,0.000943171)
(0.00346596,0.0115741)
(-0.00270062,0.000920764)
(0.00218617,-0.00159395)
(0.00421952,0.00509658)
(0.00837591,-0.00671769)
(0.000769033,0.00942332)
(0.00277838,-0.00397165)
(0.00359308,-0.00211524)
(8.96761e-05,0.00277717)
(0.00756337,-0.000474295)
(0.0126845,-0.000449445)
(0.00580408,-0.00687713)
(-0.00269736,0.00329651)
(0.0070179,0.00832514)
(-0.00536226,-0.00275102)
(0.00562531,-0.00762766)
(-0.00858902,0.00692146)
(0.0100011,-0.00174108)
(-0.000916319,0.00489576)
(0.0047115,-0.0106765)
(-0.00371598,0.00681854)
(-0.00381539,-0.0108185)
(0.00716612,-0.00232245)
(-0.00489371,0.00074618)
(0.00213974,-0.00203836)
(0.00644422,0.00324844)
(-0.0050172,0.0116588)
(-0.00314618,-0.00416872)
(-0.00465931,0.00161744)
(-0.0104992,-0.0032476)
(0.01192,0.00253726)
(0.00714136,0.00937042)
(-0.00302738,-0.00332477)
(0.00129055,-0.00623757)
(0.00834922,-0.00628518)
(0.00516757,-0.00163777)
(-0.00827225,0.00641785)
(0.012559,-0.00109011)
(0.00234574,0.00927191)
(-0.010137,-0.00303729)
(0.00388883,0.013507)
(-0.00726424,-0.00623926)
(-0.0105278,-0.00622148)
(0.00546435,0.00641477)
(0.00656901,-0.000620942)
(-0.00222636,0.000165774)
(0.00261248,0.00186959)
(-0.00314366,-0.00835609)
(-0.0139861,-0.00503992)
(-0.000668228,-0.00511245)
(0.00589459,0.00586049)
(0.00318511,0.00580759)
(0.00503374,0.00184634)
(0.00361069,0.0025443)
(0.00423297,-0.00660463)
(0.00151971,-0.0072162)
(0.0026779,-0.00142331)
(-0.00822395,-0.014048)
(-0.00671243,-0.00380503)
(0.0129436,-0.00312863)
(0.00927261,0.0184947)
(-0.00211134,-0.00475329)
(0.00356487,0.00712505)
(0.00139976,-0.00469905)
(0.0103581,0.00782684)
(0.00989573,0.00392956)
(0.00257998,0.00647829)
(0.00175794,-0.00792423)
(0.00940222,0.00883595)
(-0.00581617,-0.0073355)
(0.00532886,0.00935359)
(-0.00327945,0.00215393)
(-0.00119555,0.0106172)
(-0.0100874,0.000396714)
(0.00577792,-0.00187582)
(-0.00599995,-0.00502439)
(-0.0011155,0.00125758)
(0.00728434,-0.00834281)
(0.00616195,0.00275879)
(0.000885851,-0.00223782)
(0.00170215,0.0140998)
(-0.000914235,0.000843996)
(0.00495002,0.00947761)
(-0.00026228,0.00747429)
