-39.0638 -39.0871 -39.1064 -39.1204 -39.1285 -39.1311 -39.1289 -39.1235 -39.1171 -39.1123 -39.1126
-39.0638 -39.0871 -39.1064 -39.1204 -39.1285 -39.1311 -39.1289 -39.1235 -39.1171 -39.1123 -39.1126
-33.1275 -32.7241 -32.3095 -31.8849  -31.452 -31.0132 -31.4651 -32.0566 -32.7058 -33.3715 -34.0335
-33.1275 -32.7241 -32.3095 -31.8849  -31.452 -31.0132 -31.4651 -32.0566 -32.7058 -33.3715 -34.0335
-31.5923  -31.292 -31.0284 -30.8399 -30.8033 -31.0132  -30.572 -30.1327 -29.7014 -29.2853 -28.8932
-31.5923  -31.292 -31.0284 -30.8399 -30.8033 -31.0132  -30.572 -30.1327 -29.7014 -29.2853 -28.8932
-26.1494  -26.716 -27.3394 -27.9226 -28.3766 -28.5979 -28.5863 -28.4433 -28.2551 -28.0727 -27.9313
-26.1494  -26.716 -27.3394 -27.9226 -28.3766 -28.5979 -28.5863 -28.4433 -28.2551 -28.0727 -27.9313
-26.1047 -25.4121 -24.6508 -23.8666 -23.0613 -22.2378 -22.9122 -23.8045 -24.8193 -25.8797 -26.9324
-26.1047 -25.4121 -24.6508 -23.8666 -23.0613 -22.2378 -22.9122 -23.8045 -24.8193 -25.8797 -26.9324
-23.6878 -23.2363 -22.8507 -22.5483 -22.3414 -22.2378 -22.2304 -22.3205 -22.4972 -22.7515 -23.0142
-23.6875 -23.2363 -22.8507 -22.5483 -22.3414 -22.2378 -22.2304 -22.3205 -22.4971 -22.7515 -23.0141
-23.0311 -22.5467 -22.1294 -21.8649 -21.8759 -22.2351 -21.3981 -20.5423 -20.8575 -21.8141 -22.8115
-23.0311 -22.5467 -22.1294 -21.8649 -21.8759 -22.2351 -21.3981 -20.5423 -20.8575 -21.8141 -22.8114
 -19.507 -19.1226 -18.6972 -18.4728 -18.4627 -18.3373  -18.887 -19.8957 -19.7138 -18.8725 -19.1186
-19.5061 -19.1225 -18.6972 -18.4728 -18.4627 -18.3373  -18.887 -19.8957 -19.7138 -18.8725 -19.1186
-18.4624   -18.26 -18.4263 -18.3065 -17.7967 -17.2775 -17.4625 -16.9852  -16.403 -17.6655 -18.0614
-18.4624 -18.2597 -18.4263 -18.3065 -17.7967 -17.2775 -17.4625 -16.9852  -16.403 -17.6655 -18.0614
-18.1299 -17.4314 -16.3654 -15.2659 -16.1299 -17.2775 -16.7456 -16.2224 -16.2509 -15.8098 -15.6931
-18.1293 -17.4314 -16.3654 -15.2659 -16.1299 -17.2775 -16.7456 -16.2224 -16.2509 -15.8097 -15.6922
